id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
154,Female,29,1,18,1,< 1 Year,No,29399,152,62,0
155,Male,46,1,28,0,1-2 Year,Yes,2630,156,283,1
156,Female,42,1,28,1,1-2 Year,No,35168,31,204,0
157,Female,24,1,6,0,< 1 Year,No,26576,152,127,0
158,Male,22,1,6,0,< 1 Year,Yes,32886,152,77,1
159,Male,42,1,28,0,> 2 Years,Yes,50589,26,110,0
160,Female,54,1,46,1,1-2 Year,No,2630,21,250,0
161,Female,70,1,2,1,1-2 Year,No,28551,130,222,0
162,Female,24,1,34,0,< 1 Year,Yes,29323,152,112,0
163,Female,35,1,28,0,1-2 Year,Yes,42155,26,95,0
164,Male,45,1,28,0,1-2 Year,Yes,27302,122,118,0
165,Female,58,1,19,0,1-2 Year,Yes,35722,157,224,1
166,Male,23,1,26,1,< 1 Year,No,37712,152,82,0
167,Female,28,1,15,0,< 1 Year,Yes,41996,152,222,0
168,Female,39,1,10,0,1-2 Year,Yes,34045,124,90,1
169,Female,57,1,28,0,> 2 Years,Yes,54522,26,213,0
170,Male,23,1,41,1,< 1 Year,No,28714,152,167,0
171,Female,23,1,47,1,< 1 Year,No,34564,152,146,0
172,Female,33,1,28,0,1-2 Year,Yes,31354,157,23,0
173,Female,37,1,50,1,1-2 Year,No,26567,160,248,0
174,Male,58,1,8,0,1-2 Year,Yes,38565,30,125,0
175,Male,69,1,10,0,1-2 Year,Yes,23609,26,113,0
176,Male,73,1,24,0,1-2 Year,Yes,32964,145,57,0
177,Female,23,1,11,1,< 1 Year,No,33798,152,270,0
178,Female,66,1,28,0,> 2 Years,Yes,33781,26,253,0
179,Male,26,1,21,1,< 1 Year,No,27693,152,186,0
180,Male,22,1,41,0,< 1 Year,No,47034,152,277,0
181,Female,21,1,46,0,< 1 Year,Yes,57059,160,274,0
182,Male,52,1,11,0,> 2 Years,Yes,34581,124,270,0
183,Male,24,1,11,1,< 1 Year,No,26421,152,294,0
184,Male,55,1,28,1,1-2 Year,No,55942,122,210,0
185,Male,24,1,11,1,< 1 Year,No,52669,152,122,0
186,Male,50,1,8,0,> 2 Years,Yes,46463,124,209,1
187,Male,48,1,46,1,1-2 Year,No,27057,124,84,0
188,Female,68,1,45,0,> 2 Years,Yes,2630,26,23,0
189,Female,43,1,28,0,1-2 Year,Yes,30329,157,288,0
190,Female,31,1,10,1,< 1 Year,No,2630,152,57,0
191,Female,20,1,35,0,< 1 Year,No,2630,160,249,0
192,Female,78,1,30,0,1-2 Year,Yes,2630,26,121,0
193,Female,55,1,28,0,1-2 Year,Yes,40007,124,78,0
194,Male,24,1,8,1,< 1 Year,No,29163,26,250,0
195,Female,65,1,28,0,1-2 Year,Yes,58870,124,131,0
196,Female,49,1,28,0,1-2 Year,Yes,66389,124,129,0
197,Male,21,1,47,0,< 1 Year,Yes,30874,152,149,0
198,Male,41,1,46,0,1-2 Year,Yes,2630,124,29,0
199,Female,22,1,47,1,< 1 Year,No,35925,152,293,0
200,Female,33,1,28,0,1-2 Year,Yes,2630,122,170,0
201,Male,57,1,28,0,1-2 Year,Yes,43411,13,106,0
202,Male,38,1,28,0,1-2 Year,Yes,40699,26,224,0
203,Female,24,1,36,0,< 1 Year,No,2630,26,65,0
204,Female,27,1,11,1,< 1 Year,No,47460,152,175,0
205,Female,42,1,28,0,1-2 Year,Yes,41993,122,60,0
206,Female,54,1,46,1,1-2 Year,No,36220,124,222,0
207,Female,43,1,28,0,1-2 Year,Yes,36432,124,50,1
208,Female,22,1,8,1,< 1 Year,No,41198,152,282,0
209,Male,64,1,23,0,1-2 Year,Yes,28602,26,244,0
210,Female,39,1,28,0,1-2 Year,No,42875,26,183,0
211,Female,61,1,28,0,1-2 Year,Yes,46896,125,118,0
212,Male,46,1,25,0,1-2 Year,Yes,33500,163,205,0
213,Female,63,1,46,0,1-2 Year,No,41321,11,294,0
214,Male,29,1,8,0,< 1 Year,Yes,48047,152,164,0
215,Female,29,1,4,0,1-2 Year,Yes,2630,156,107,0
216,Male,47,1,0,0,> 2 Years,Yes,2630,26,296,0
217,Female,26,1,4,1,< 1 Year,No,50080,152,184,0
218,Female,23,1,29,1,< 1 Year,No,34685,152,169,0
219,Female,44,1,28,0,1-2 Year,Yes,55895,26,32,0
220,Female,27,1,46,1,< 1 Year,No,29033,152,143,0
221,Male,46,1,28,0,1-2 Year,Yes,46022,26,63,0
222,Male,44,1,28,1,1-2 Year,Yes,36830,124,167,0
223,Male,20,1,2,1,< 1 Year,No,23052,160,20,0
224,Female,23,1,11,1,< 1 Year,No,37014,152,232,0
225,Male,21,1,8,0,< 1 Year,Yes,45031,160,245,0
226,Female,21,1,8,0,< 1 Year,Yes,77479,160,297,0
227,Male,43,1,8,0,1-2 Year,Yes,37964,124,113,0
228,Male,74,1,39,1,1-2 Year,No,31618,124,207,0
229,Male,29,1,47,0,< 1 Year,Yes,25198,26,131,0
230,Male,45,1,50,0,1-2 Year,No,27245,150,210,0
231,Male,25,1,5,1,< 1 Year,No,29465,152,216,0
232,Male,42,1,35,1,1-2 Year,No,24190,124,73,0
233,Male,50,1,28,0,> 2 Years,Yes,49993,26,238,1
234,Female,50,1,46,1,1-2 Year,No,34327,124,105,0
235,Female,21,1,32,1,< 1 Year,No,29681,152,193,0
236,Female,24,1,11,1,< 1 Year,No,31248,152,25,0
237,Male,50,1,38,0,1-2 Year,Yes,33062,155,248,0
238,Male,51,1,8,0,1-2 Year,Yes,2630,26,242,0
239,Male,21,1,46,0,< 1 Year,No,2630,1,292,0
240,Female,42,1,28,0,> 2 Years,Yes,2630,124,64,0
241,Male,62,1,29,1,1-2 Year,No,41405,124,88,0
242,Female,44,1,28,0,1-2 Year,Yes,46350,26,56,1
243,Female,31,1,8,0,< 1 Year,No,45832,152,131,0
244,Male,24,1,46,1,< 1 Year,No,22676,152,217,0
245,Male,57,1,28,0,1-2 Year,Yes,79001,3,39,0
246,Male,29,1,12,0,< 1 Year,Yes,25352,156,244,0
247,Female,48,1,3,1,1-2 Year,No,28904,124,198,0
248,Male,28,1,39,0,< 1 Year,Yes,30864,26,290,0
249,Male,42,1,28,0,1-2 Year,Yes,27490,124,51,0
250,Female,22,1,40,1,< 1 Year,No,25750,152,202,0
251,Male,54,1,8,0,< 1 Year,Yes,45663,124,97,1
252,Male,35,1,28,0,1-2 Year,Yes,51303,122,156,1
253,Female,26,1,41,1,< 1 Year,No,2630,151,130,0
254,Male,63,1,41,1,1-2 Year,No,2630,26,173,0
255,Male,23,1,28,1,1-2 Year,Yes,41075,26,152,0
256,Female,20,1,22,0,< 1 Year,Yes,37614,160,175,0
257,Male,21,1,9,1,< 1 Year,No,2630,152,267,0
258,Female,25,1,14,1,< 1 Year,No,25486,152,144,0
259,Male,31,1,35,0,< 1 Year,Yes,18026,152,168,1
260,Male,21,1,46,0,< 1 Year,No,37047,160,168,0
261,Female,36,1,8,1,1-2 Year,No,40818,152,13,0
262,Male,46,1,28,0,1-2 Year,Yes,38976,26,298,0
263,Male,56,1,28,1,1-2 Year,No,53235,122,51,0
264,Male,50,1,33,0,1-2 Year,Yes,18967,26,26,0
265,Male,52,1,28,0,1-2 Year,Yes,42568,26,130,1
266,Female,49,1,26,0,1-2 Year,Yes,28430,26,127,1
267,Male,52,1,15,1,1-2 Year,No,28353,122,127,0
268,Male,45,1,15,0,1-2 Year,No,28647,124,94,0
269,Female,58,1,28,0,1-2 Year,Yes,40481,124,101,0
270,Male,64,1,28,1,1-2 Year,No,33023,124,249,0
271,Male,45,1,43,0,1-2 Year,Yes,32292,124,41,0
272,Female,25,1,47,0,< 1 Year,Yes,2630,152,225,0
273,Female,24,1,6,1,< 1 Year,No,26704,152,79,0
274,Male,40,1,38,1,1-2 Year,No,26371,124,170,0
275,Male,23,1,41,1,< 1 Year,No,62379,152,286,0
276,Male,25,1,3,0,< 1 Year,No,36182,152,64,0
277,Male,24,1,47,0,< 1 Year,No,2630,152,96,0
278,Female,49,1,50,1,1-2 Year,No,45755,18,191,0
279,Female,55,1,0,0,1-2 Year,Yes,2630,26,288,0
280,Female,38,1,11,0,> 2 Years,Yes,2630,157,229,1
281,Female,40,1,21,0,1-2 Year,Yes,2630,157,202,0
282,Male,54,1,8,0,> 2 Years,Yes,42440,26,186,1
283,Male,22,1,46,1,< 1 Year,No,25126,152,100,0
284,Male,43,1,4,0,1-2 Year,Yes,36384,26,262,0
285,Male,74,1,37,0,1-2 Year,Yes,16998,124,87,0
286,Male,40,1,38,1,1-2 Year,No,47445,26,212,0
287,Female,50,1,33,0,> 2 Years,Yes,35329,156,256,0
288,Female,29,1,15,1,< 1 Year,No,28234,152,84,0
289,Male,28,1,35,1,< 1 Year,No,2630,160,273,0
290,Female,26,1,33,1,< 1 Year,No,42943,151,37,0
291,Male,40,1,36,0,1-2 Year,Yes,24833,124,245,0
292,Female,34,1,18,1,1-2 Year,No,2630,124,85,0
293,Male,38,1,48,0,> 2 Years,Yes,2630,156,23,0
294,Female,26,1,15,1,< 1 Year,No,26273,152,90,0
295,Female,73,1,46,0,1-2 Year,No,2630,26,294,0
296,Female,29,1,21,1,< 1 Year,No,14911,152,274,0
297,Female,55,1,28,0,1-2 Year,Yes,2630,26,296,0
298,Female,43,1,48,1,1-2 Year,No,2630,15,68,0
299,Male,59,1,3,0,1-2 Year,Yes,21432,124,36,1
300,Male,30,1,8,1,1-2 Year,No,32797,26,211,0
301,Male,53,1,11,0,1-2 Year,Yes,2630,26,160,1
302,Male,26,1,33,1,< 1 Year,No,39000,152,126,0
303,Male,58,1,35,0,1-2 Year,Yes,35690,26,92,0
304,Female,20,1,34,0,< 1 Year,Yes,57092,160,100,0
305,Female,27,1,41,1,< 1 Year,No,31261,152,169,0
306,Male,61,1,8,1,1-2 Year,No,59089,26,262,0
307,Female,27,1,10,1,< 1 Year,No,26456,152,76,0
308,Male,23,1,46,1,< 1 Year,No,31174,152,123,0
309,Female,59,1,15,0,1-2 Year,Yes,2630,156,211,0
310,Male,44,1,0,0,1-2 Year,Yes,2630,124,178,0
311,Male,48,1,28,0,> 2 Years,Yes,39154,29,162,0
312,Female,32,1,8,0,1-2 Year,Yes,21956,124,240,1
313,Female,39,1,0,1,1-2 Year,No,2630,26,145,0
314,Male,28,1,8,1,< 1 Year,No,61626,26,240,0
315,Male,26,1,41,1,< 1 Year,No,39414,152,30,0
316,Female,22,1,8,0,< 1 Year,Yes,42742,152,19,0
317,Female,25,1,28,1,< 1 Year,No,42984,152,229,0
318,Female,44,0,27,1,1-2 Year,No,27999,124,261,0
319,Male,38,1,28,0,1-2 Year,Yes,54534,122,146,0
320,Female,31,1,8,1,< 1 Year,No,30787,152,226,0
321,Male,69,1,14,0,1-2 Year,Yes,38361,26,244,0
322,Male,68,1,28,0,1-2 Year,Yes,57625,124,18,0
323,Male,27,1,17,1,< 1 Year,No,31005,152,256,0
324,Female,21,1,46,1,< 1 Year,No,29350,152,235,0
325,Male,34,1,30,1,1-2 Year,No,27933,152,176,0
326,Female,51,1,28,0,1-2 Year,Yes,33706,122,26,0
327,Male,32,1,10,1,< 1 Year,No,2630,152,77,0
328,Male,25,1,41,1,< 1 Year,No,36705,152,170,0
329,Female,52,1,31,1,1-2 Year,No,2630,26,136,0
330,Male,24,1,41,1,< 1 Year,Yes,32293,152,210,0
331,Male,60,1,50,1,1-2 Year,No,54555,8,68,0
332,Male,65,1,7,0,1-2 Year,Yes,33889,26,273,0
333,Female,21,1,7,1,< 1 Year,No,2630,152,181,0
334,Female,45,1,46,0,> 2 Years,Yes,42172,26,45,1
335,Male,46,1,41,1,1-2 Year,No,30010,26,129,0
336,Male,73,1,28,0,1-2 Year,Yes,48707,37,20,0
337,Female,48,1,46,0,1-2 Year,Yes,2630,26,143,1
338,Male,56,1,28,0,1-2 Year,Yes,2630,52,186,0
339,Female,26,1,3,1,< 1 Year,Yes,2630,152,102,0
340,Male,61,1,28,1,1-2 Year,No,45557,13,93,0
341,Male,71,1,28,1,1-2 Year,No,36922,122,229,0
342,Male,50,1,31,1,1-2 Year,No,2630,148,55,0
343,Male,75,1,46,0,1-2 Year,Yes,31346,124,59,0
344,Male,52,1,46,0,> 2 Years,Yes,34822,26,72,1
345,Male,23,1,15,1,< 1 Year,No,27410,152,258,0
346,Male,54,1,3,0,1-2 Year,Yes,27095,26,166,0
347,Female,32,1,37,0,< 1 Year,Yes,34297,152,146,0
348,Female,42,1,8,1,1-2 Year,Yes,27837,124,129,0
349,Male,23,1,9,0,< 1 Year,Yes,49633,151,56,0
350,Male,41,1,8,0,1-2 Year,Yes,48604,124,200,0
351,Female,41,1,28,0,1-2 Year,Yes,38461,26,197,0
352,Male,39,1,4,0,1-2 Year,Yes,27214,156,273,0
353,Male,55,0,28,0,1-2 Year,Yes,67935,26,195,0
354,Male,32,1,16,0,1-2 Year,Yes,2630,156,297,1
355,Male,52,1,48,0,1-2 Year,Yes,2630,124,63,1
356,Male,31,1,33,1,< 1 Year,No,30771,152,147,0
357,Male,25,1,22,1,< 1 Year,No,2630,152,253,0
358,Female,21,1,6,0,< 1 Year,Yes,27202,152,11,0
359,Male,45,1,45,1,1-2 Year,No,2630,26,257,0
360,Male,72,1,29,0,1-2 Year,Yes,64675,26,207,0
361,Female,29,1,28,1,< 1 Year,No,48231,152,178,0
362,Male,21,1,15,0,< 1 Year,Yes,31121,152,112,0
363,Female,25,1,49,1,< 1 Year,No,2630,152,185,0
364,Male,23,1,37,0,< 1 Year,Yes,28659,151,224,0
365,Male,70,1,28,0,1-2 Year,Yes,33693,122,62,0
366,Male,21,1,8,0,< 1 Year,No,53680,160,200,0
367,Female,21,1,32,0,< 1 Year,No,24994,152,133,1
368,Male,27,1,14,1,< 1 Year,No,28288,152,199,0
369,Female,22,1,6,0,< 1 Year,No,30318,152,163,0
370,Male,20,1,45,0,< 1 Year,Yes,37622,160,31,0
371,Male,36,1,29,0,1-2 Year,Yes,2630,124,28,1
372,Male,44,1,28,0,1-2 Year,Yes,24598,124,214,0
373,Female,30,1,29,1,< 1 Year,No,49656,26,88,0
374,Male,22,1,11,1,< 1 Year,No,27531,152,248,0
375,Female,74,1,28,0,> 2 Years,Yes,64580,26,240,0
376,Female,51,1,33,0,1-2 Year,No,2630,124,20,0
377,Female,51,1,28,0,1-2 Year,Yes,35852,26,139,0
378,Male,23,1,27,1,< 1 Year,No,33092,152,138,0
379,Male,26,1,8,1,< 1 Year,No,30012,152,10,0
380,Female,39,1,28,0,1-2 Year,Yes,31147,125,18,0
381,Female,26,1,29,1,< 1 Year,No,2630,152,259,0
382,Female,55,1,46,1,1-2 Year,No,24055,30,212,0
383,Male,22,1,41,0,< 1 Year,Yes,36721,160,97,0
384,Female,22,1,33,1,< 1 Year,No,33164,152,199,0
385,Female,26,1,3,1,< 1 Year,No,31186,152,90,0
386,Male,37,1,41,0,1-2 Year,Yes,25722,154,152,1
387,Male,31,1,15,1,< 1 Year,No,36046,152,245,0
388,Female,42,1,28,0,1-2 Year,Yes,38266,26,30,0
389,Male,59,1,21,1,1-2 Year,No,32304,124,254,0
390,Female,78,1,41,0,1-2 Year,Yes,30773,12,20,0
391,Male,34,1,15,1,1-2 Year,No,2630,122,294,0
392,Female,48,1,28,0,1-2 Year,Yes,29446,26,74,1
393,Male,24,1,15,0,< 1 Year,Yes,20987,152,281,0
394,Female,23,1,28,0,< 1 Year,Yes,51520,122,23,0
395,Male,33,1,28,0,< 1 Year,Yes,47720,124,67,0
396,Female,20,1,36,1,< 1 Year,No,34478,160,283,0
397,Female,21,1,41,1,< 1 Year,No,36693,160,207,0
398,Male,51,1,26,0,> 2 Years,Yes,51694,125,169,0
399,Male,20,1,28,0,< 1 Year,Yes,55490,160,261,0
400,Male,49,1,28,1,1-2 Year,No,28527,55,180,0
401,Male,25,1,15,0,< 1 Year,Yes,38236,152,197,0
402,Male,37,1,9,1,1-2 Year,No,25054,152,85,0
403,Male,50,1,28,0,> 2 Years,Yes,31551,26,71,0
404,Male,44,1,28,0,1-2 Year,Yes,2630,156,139,1
405,Female,22,1,8,0,< 1 Year,Yes,51406,152,177,0
406,Male,25,1,47,0,< 1 Year,No,23504,152,178,0
407,Male,47,1,33,1,1-2 Year,No,32673,26,120,0
408,Female,49,1,28,0,> 2 Years,Yes,2630,157,250,0
409,Male,26,1,17,1,< 1 Year,No,29431,152,216,0
410,Male,71,1,28,0,1-2 Year,Yes,2630,26,183,0
411,Male,23,1,45,0,< 1 Year,Yes,2630,160,291,0
412,Male,28,1,22,0,1-2 Year,Yes,2630,155,272,1
413,Female,71,1,28,1,1-2 Year,No,62080,26,57,0
414,Male,46,1,28,0,1-2 Year,Yes,28742,124,183,0
415,Male,47,1,39,0,1-2 Year,Yes,40286,124,231,0
416,Male,53,1,13,0,1-2 Year,Yes,40250,124,162,0
417,Female,52,1,28,1,1-2 Year,No,63149,26,81,0
418,Male,68,1,14,1,1-2 Year,No,20843,152,115,0
419,Male,74,1,8,1,1-2 Year,No,48957,7,112,0
420,Male,41,1,41,1,1-2 Year,No,2630,156,160,0
421,Male,67,1,41,1,1-2 Year,No,44493,12,76,0
422,Male,44,1,28,0,1-2 Year,Yes,24311,122,276,0
423,Female,37,1,8,1,1-2 Year,No,34612,160,23,0
424,Female,73,1,5,0,1-2 Year,Yes,19981,122,22,0
425,Male,38,1,28,0,1-2 Year,Yes,28768,124,193,0
426,Female,50,1,28,1,1-2 Year,No,40127,26,64,0
427,Male,59,1,28,0,> 2 Years,Yes,47896,26,210,0
428,Female,25,1,15,0,< 1 Year,Yes,25158,152,159,0
429,Male,28,1,6,1,< 1 Year,No,25752,152,205,0
430,Female,22,1,11,1,< 1 Year,No,36226,152,215,0
431,Male,21,1,33,0,< 1 Year,Yes,34548,152,190,0
432,Male,64,1,28,0,> 2 Years,Yes,63102,24,118,0
