건물코드,기온,강수량,풍속,습도,전력소비량
BV,27.6,,1.4,86.0,1852.56
BA,26.4,,2.4,90.0,16679.6
AW,30.4,,3.0,71.0,1752.6
CA,26.9,0.1,0.7,81.0,1852.32
CU,27.5,1.2,3.0,92.0,4773.6
CN,17.1,0.0,1.4,92.0,345.42
DG,27.8,,3.2,66.0,2637.36
AC,26.6,,2.4,71.0,947.88
AC,27.0,2.5,2.9,96.0,1265.04
DQ,22.3,0.5,0.1,99.0,810.36
CE,23.5,9.9,3.5,99.0,1553.94
BW,23.5,,3.4,96.0,2371.32
AM,27.5,,2.5,90.0,2766.24
DM,27.4,,3.0,81.0,2431.44
AW,25.7,,0.2,81.0,1077.6
DQ,28.3,,2.1,68.0,1178.28
AF,26.0,,1.0,100.0,1254.72
CH,27.9,,1.4,58.0,3916.32
AT,17.1,,1.6,86.0,1285.92
BN,31.5,,4.2,77.0,4043.1
CQ,27.4,5.4,2.6,89.0,4072.5
AK,25.5,,2.4,93.0,1689.36
CT,23.0,,0.4,99.0,1276.56
DF,30.8,,2.4,62.0,1700.16
AC,31.9,,3.5,60.0,2904.12
CK,24.3,,0.2,94.0,473.4
CB,23.9,,1.7,93.0,924.84
CP,23.6,15.3,4.7,99.0,2412.45
AB,28.7,,4.9,83.0,2545.2
BD,23.2,,1.7,56.0,834.3
CM,29.6,,2.2,31.0,372.6
DA,29.1,0.0,5.0,81.0,3012.96
CT,25.2,,0.7,85.0,1171.44
BR,18.0,,1.9,80.0,495.36
AB,29.8,,2.3,67.0,1133.64
CO,29.1,,2.6,76.0,1759.44
CT,25.1,,2.3,95.0,1193.58
CC,26.1,,1.7,99.0,954.24
DE,24.5,,0.8,88.0,755.4
CC,21.7,,0.5,91.0,919.56
DT,25.5,,4.4,77.0,969.66
CC,21.7,,1.3,71.0,1070.16
CJ,28.3,,3.0,67.0,1502.46
AK,21.1,,0.4,98.0,1580.4
DS,19.9,,1.0,92.0,554.22
AN,25.7,,1.8,88.0,1379.52
CX,25.1,,1.2,90.0,1291.32
DU,22.2,,0.9,91.0,639.18
DR,30.6,,4.9,77.0,4335.12
CI,26.4,,2.3,84.0,4217.76
AP,27.6,,1.8,85.0,1466.88
CG,25.9,0.0,2.3,83.0,812.88
CJ,23.8,,3.9,66.0,991.26
BW,30.2,,2.4,49.0,2833.56
DP,30.1,,3.1,64.0,2934.48
BM,25.5,,1.4,87.0,607.2
CW,22.1,,2.2,63.0,1776.0
BG,25.9,,1.2,80.0,8796.96
BI,29.1,0.0,5.0,81.0,2231.1
CI,24.6,,1.0,87.0,2108.52
AG,26.3,,1.5,91.0,507.84
DU,30.5,,1.1,60.0,1675.8
CD,34.8,,2.1,45.0,4179.24
BS,23.0,,1.9,83.0,3589.92
AV,22.7,,2.5,90.0,1716.84
DJ,26.9,,1.7,47.0,455.22
AP,21.0,,2.3,66.0,3068.64
BL,29.7,,3.2,65.0,3222.36
BA,23.9,,0.8,91.0,14386.4
AP,26.8,,1.7,92.0,2663.04
CA,24.9,1.1,0.7,79.0,2276.16
BZ,24.6,,3.5,73.0,2784.9
CS,31.8,,1.7,50.0,1914.96
DD,27.5,,2.0,64.0,3366.72
CW,14.7,,0.4,99.0,1140.0
CK,24.4,0.2,2.7,92.0,465.21
AT,27.7,,1.4,73.0,1644.96
AM,28.9,,4.1,71.0,2648.16
DQ,28.7,,4.0,68.0,1172.16
CU,15.3,,0.3,81.0,2566.08
AR,24.1,19.0,2.9,100.0,2053.2
DH,28.9,,3.0,69.0,636.48
DI,22.1,,0.0,93.0,716.94
AH,27.9,,4.1,72.0,1580.16
BD,27.5,,0.5,89.0,814.8
DB,25.6,7.7,2.5,97.0,3654.72
DR,21.9,,1.2,98.0,2390.76
DI,27.4,,0.9,85.0,2053.62
CY,28.0,,2.5,64.0,1274.76
DA,24.8,,3.5,65.0,1983.36
CD,28.3,,2.4,73.0,4559.76
CC,25.5,0.9,2.7,99.0,1163.28
AR,21.1,,0.3,85.0,870.0
BE,29.5,,0.3,63.0,1171.44
AG,21.8,,1.2,66.0,1145.04
CR,27.6,,2.7,46.0,3219.56
CO,27.6,,3.5,87.0,1210.32
DF,23.5,,1.2,90.0,1211.04
CP,23.8,,0.1,90.0,1237.2
AA,24.2,,4.4,81.0,2210.4
AZ,28.9,,2.7,63.0,3134.4
BO,15.5,1.0,3.2,95.0,3442.2
AW,26.8,,1.9,83.0,960.0
BA,24.3,,1.7,88.0,15285.2
DM,26.9,,0.1,95.0,1160.4
CI,23.7,,1.8,80.0,1670.76
BX,26.8,,0.8,85.0,2814.3
AY,25.5,,2.2,66.0,10326.36
AK,25.2,,1.6,48.0,2203.68
CL,21.1,,6.0,50.0,938.7
AZ,22.5,,1.2,99.0,2536.32
BW,26.4,,0.7,59.0,2634.84
BX,29.0,,2.4,65.0,3019.8
CA,28.2,,0.9,77.0,1057.92
BP,23.6,,0.5,90.0,570.6
CD,24.3,,0.3,94.0,3998.16
DV,27.6,0.0,2.5,80.0,1114.32
DF,30.4,,2.5,64.0,1318.56
BQ,23.3,,2.5,86.0,3459.6
BR,25.8,,1.1,98.0,610.56
CM,31.4,,6.2,77.0,887.04
CD,22.6,,0.4,87.0,3945.24
AS,20.7,,2.7,69.0,897.12
CQ,25.4,0.0,0.6,81.0,4152.9
CL,25.0,0.1,4.1,86.0,771.84
DR,23.2,,10.4,97.0,2604.24
AC,27.9,,3.6,55.0,2408.04
CK,25.0,,3.4,47.0,695.43
CI,23.2,,1.2,86.0,1873.44
DG,26.4,,1.6,91.0,2430.96
DD,26.7,,2.0,77.0,1610.64
DD,17.0,,3.8,53.0,1071.36
AI,24.9,,0.8,81.0,1671.84
CB,27.3,0.2,6.7,94.0,3606.12
AR,23.2,0.0,1.8,100.0,916.2
DS,22.5,0.0,3.0,99.0,788.58
DD,19.9,,1.8,85.0,1282.32
CO,26.2,,5.1,72.0,1089.36
BH,29.5,,6.3,77.0,3494.16
DG,24.0,0.0,0.4,90.0,1748.16
DB,23.6,,2.2,88.0,2413.44
AN,19.6,,2.6,79.0,1611.84
DA,24.4,,2.8,57.0,3706.08
AC,24.3,,0.8,88.0,837.36
BM,24.3,0.1,1.0,96.0,636.48
BU,24.4,,1.5,100.0,7253.28
DH,25.1,,1.4,63.0,1553.4
CE,30.2,,3.3,65.0,3010.68
CQ,25.9,,1.0,81.0,3607.5
AD,28.4,,2.6,78.0,758.88
DB,28.7,,3.2,58.0,3005.28
DI,15.1,,0.3,78.0,403.56
AA,25.0,,0.8,86.0,842.4
BN,24.6,,0.1,99.0,501.0
AJ,25.8,,2.9,99.0,4153.92
DD,26.5,,6.5,82.0,1486.08
BI,25.6,,3.5,55.0,2150.7
CK,25.1,,0.9,81.0,548.19
BY,27.2,,1.1,93.0,2420.64
AB,26.9,,2.7,85.0,2292.12
DD,21.5,,2.4,91.0,3561.12
CN,29.1,0.0,1.1,73.0,430.29
AA,30.2,,3.5,61.0,4575.36
AE,28.9,0.0,3.9,81.0,1744.56
BX,30.8,,2.7,61.0,3471.9
DQ,26.6,,3.4,78.0,1326.96
BV,28.7,,2.1,72.0,1623.24
AC,19.6,,2.8,58.0,948.24
CW,18.8,,0.8,83.0,1268.64
DI,26.3,,0.5,89.0,1750.86
DE,27.9,,3.2,67.0,2579.4
BM,23.3,,0.6,78.0,1707.36
BY,24.0,,2.4,96.0,2034.0
AI,29.3,,4.4,61.0,2974.08
DM,29.6,,4.3,80.0,1630.8
AC,27.6,,4.2,77.0,867.6
BQ,16.5,,0.3,93.0,449.1
BQ,23.7,2.0,2.6,98.0,439.5
BJ,28.0,,1.8,81.0,2941.2
AD,29.4,,1.7,65.0,785.7
CM,26.7,0.0,1.6,99.0,954.72
BT,27.4,,0.6,71.0,1856.4
DD,23.2,0.0,0.5,93.0,1432.8
AO,16.2,,2.3,99.0,1756.62
BQ,25.1,,0.6,86.0,1531.2
DJ,27.2,,2.0,78.0,486.18
DC,24.5,,0.9,85.0,516.24
BD,30.0,,2.9,58.0,1176.9
BT,23.0,,0.9,79.0,1373.28
DU,20.8,0.1,0.9,96.0,1132.38
AE,29.2,,3.7,48.0,5382.72
AU,25.5,0.1,1.3,88.0,1374.14
BA,25.0,0.0,0.9,93.0,17511.2
DG,29.1,,2.4,48.0,2383.68
AL,17.9,,1.8,95.0,1003.32
BK,31.2,0.0,3.7,70.0,5820.0
AT,24.0,8.5,2.6,93.0,1318.56
CU,32.3,,2.6,67.0,4634.4
CC,20.8,,1.2,91.0,925.2
DU,27.6,,1.5,84.0,1582.2
CG,25.7,0.0,1.8,84.0,1098.36
BJ,17.9,,0.7,91.0,2837.52
BO,27.1,0.0,5.6,83.0,4915.8
AN,20.2,0.0,3.0,74.0,940.8
BC,27.6,,3.1,85.0,1262.4
BG,32.5,,3.0,54.0,8914.32
CS,30.0,,1.9,75.0,1940.64
AV,24.2,,2.2,84.0,1377.0
CQ,23.2,,1.2,86.0,4216.5
CQ,27.7,,1.3,89.0,3846.3
CN,27.8,,1.2,83.0,640.8
AJ,18.4,,3.9,79.0,3849.12
BD,29.9,,2.9,56.0,1095.3
CN,27.4,0.1,2.1,87.0,433.44
CC,27.0,,1.6,99.0,943.2
BO,28.7,0.0,2.4,72.0,2316.6
CM,26.9,,0.7,91.0,504.72
CN,24.3,,3.4,73.0,330.21
CV,32.9,,0.9,62.0,6968.88
CF,17.5,,2.4,92.0,2810.88
AC,28.6,,2.6,85.0,1850.04
BL,25.7,,2.9,92.0,918.72
AZ,29.5,,1.8,68.0,5265.12
AL,21.0,,2.1,43.0,1245.96
BX,29.2,,1.1,76.0,3948.9
DC,24.2,,2.4,54.0,1689.84
BF,17.5,0.8,3.1,90.0,9244.08
BG,26.5,,1.0,83.0,8748.0
BE,26.1,,0.1,66.0,1085.4
AU,21.5,,0.0,95.0,1280.48
CZ,24.4,,0.8,96.0,970.08
AE,21.8,,2.6,74.0,2374.56
BO,24.4,3.1,4.7,96.0,4866.6
BI,18.4,,2.1,83.0,2097.6
CP,24.3,,2.5,77.0,2166.9
DN,22.0,,0.1,87.0,539.64
DM,23.1,,0.7,70.0,903.6
DR,19.3,,4.3,74.0,1456.44
CY,31.8,,1.9,59.0,2408.04
AI,23.6,0.7,0.5,99.0,1245.12
CN,26.7,,1.9,69.0,340.11
DK,18.2,,0.7,86.0,477.12
BZ,27.6,,0.5,90.0,2138.1
BI,26.2,,1.7,81.0,2187.3
CJ,24.8,,0.6,80.0,773.28
BY,25.1,,2.2,95.0,3267.0
CF,19.5,0.0,0.4,86.0,2833.92
DC,19.0,,2.4,71.0,668.16
CN,29.2,,1.3,79.0,604.35
AU,23.6,,0.4,94.0,3082.47
BM,21.8,,2.9,57.0,1266.72
CA,24.3,,2.7,39.0,683.04
AH,27.3,,0.8,90.0,1373.28
CX,25.0,,0.1,97.0,1332.18
AA,23.5,,3.2,73.0,2811.36
CG,22.4,0.0,2.6,68.0,825.48
BK,17.9,0.1,1.9,89.0,2036.4
BJ,21.2,0.0,4.5,56.0,2905.2
BA,26.6,,2.0,86.0,15965.6
CY,16.5,,0.9,92.0,915.48
DH,25.6,0.0,1.2,97.0,691.02
AL,26.6,,0.4,83.0,1270.62
BV,24.2,,2.0,43.0,1355.4
AC,29.7,,2.0,61.0,1982.88
CU,18.1,0.1,2.0,68.0,2617.92
DV,28.8,,5.4,71.0,1052.16
DA,23.6,,1.6,70.0,2441.28
BC,24.8,,0.6,96.0,1117.2
CV,24.0,0.0,3.4,93.0,3234.96
BQ,28.2,,5.2,86.0,4079.4
CM,25.3,,1.0,89.0,751.86
AZ,24.5,,1.0,100.0,2800.32
CC,26.6,,1.7,98.0,934.08
CL,25.0,,2.3,80.0,1704.42
DU,23.6,,0.4,92.0,747.18
AY,27.8,0.2,4.2,89.0,11530.68
AJ,19.8,,2.5,72.0,2928.48
BF,24.1,,2.1,70.0,9707.76
CL,27.4,,2.0,78.0,1872.9
AY,24.6,,1.0,86.0,5111.04
AU,27.1,,2.0,35.0,2733.66
CN,28.3,,1.1,74.0,432.09
BO,25.1,4.9,1.9,94.0,3031.2
CW,23.6,,0.4,99.0,1087.56
AN,22.8,,4.1,88.0,1829.28
CA,21.5,2.3,0.3,83.0,2851.2
CO,27.0,,3.5,90.0,1616.4
AH,21.4,,1.4,93.0,1262.4
AZ,15.7,0.8,1.6,94.0,3980.64
AK,25.1,0.0,1.0,82.0,1697.76
BM,27.2,,3.5,62.0,3649.92
DG,21.0,,2.2,66.0,2032.08
BH,24.3,0.8,1.7,85.0,3386.16
CP,24.4,,1.7,89.0,1552.8
DT,26.1,,1.8,79.0,1704.6
CY,27.1,9.1,2.3,100.0,1491.12
DT,20.5,,1.7,49.0,1069.02
BX,24.7,0.8,1.5,92.0,2611.5
DP,22.5,,1.6,85.0,2180.88
BY,33.2,,4.7,47.0,3839.04
BR,23.0,,0.3,100.0,545.76
DB,21.5,,2.5,89.0,1046.16
CE,28.2,,1.5,48.0,1962.0
BA,23.9,,1.0,89.0,14764.4
CD,31.4,,5.9,64.0,4459.32
CO,27.3,,2.8,76.0,1322.64
CG,32.9,0.0,3.5,55.0,965.52
AQ,24.9,,1.2,76.0,568.62
AA,22.1,,1.2,86.0,1433.28
DH,27.3,,4.0,72.0,1685.16
BY,26.4,,2.0,39.0,2543.76
CO,29.5,,2.2,79.0,1552.32
BU,32.2,,3.8,69.0,7808.16
CP,22.5,,2.8,61.0,1410.3
CK,31.6,,1.6,54.0,1032.12
CQ,25.1,,0.4,87.0,3652.2
BL,29.7,,3.7,74.0,3366.72
BM,25.5,,2.2,73.0,2790.24
BD,29.7,,4.1,67.0,755.7
DM,30.1,,0.9,64.0,2250.24
AQ,18.1,,0.8,80.0,585.54
AE,29.6,,3.8,53.0,2307.6
CC,29.0,,3.4,52.0,931.44
CF,19.4,,1.2,83.0,2793.12
AE,25.6,12.5,2.5,96.0,1827.36
CU,21.5,,0.6,90.0,3380.16
BJ,27.1,,1.0,97.0,2830.8
AM,28.5,,2.8,83.0,2449.44
BC,20.2,,1.4,80.0,1920.9
AG,20.1,,0.5,100.0,547.92
BS,29.2,,2.6,61.0,3707.04
DJ,23.6,,3.4,92.0,1214.1
BK,29.2,,2.6,61.0,5452.8
DA,25.2,,0.8,76.0,2412.48
CU,30.7,,3.8,72.0,4503.84
CJ,31.6,,2.0,50.0,1171.98
AR,26.9,2.1,2.2,98.0,2352.0
AI,30.4,,1.9,66.0,3247.68
CB,22.3,14.9,7.2,100.0,427.68
BG,33.8,,3.1,59.0,9072.0
BR,23.8,,0.4,100.0,528.96
BZ,27.6,0.0,0.8,94.0,1743.0
DF,24.0,3.0,2.8,100.0,2957.76
CC,30.2,,3.3,62.0,1160.28
AF,22.9,,3.0,41.0,2529.12
CE,24.6,,1.9,84.0,1123.56
AL,24.7,,1.5,63.0,1072.44
AX,27.5,,1.6,84.0,8796.6
AY,29.6,,2.6,67.0,10639.8
CX,20.7,,1.6,69.0,1069.38
CM,31.7,,4.5,79.0,700.92
CQ,23.8,,1.2,60.0,3324.9
CI,15.5,1.0,3.2,95.0,2628.72
CI,28.0,0.0,6.6,88.0,3974.04
AS,32.5,,3.2,66.0,2536.56
BU,23.1,,2.6,62.0,4466.4
AH,29.7,,1.9,67.0,1408.32
AJ,24.1,,2.7,74.0,3924.48
AD,22.9,0.0,1.4,94.0,1018.44
CB,27.3,,4.2,74.0,3529.44
CV,26.4,,3.2,83.0,2962.8
DH,30.6,,2.1,20.0,1551.24
DP,29.6,,2.6,67.0,3016.56
CP,22.9,0.0,1.4,94.0,1925.4
CZ,15.0,4.8,0.5,91.0,835.2
DQ,26.8,,1.2,74.0,1476.0
BJ,27.2,,1.1,83.0,2886.72
DT,29.4,,1.6,76.0,1762.38
CG,21.0,0.0,0.9,83.0,676.44
DD,24.2,,3.4,86.0,2118.96
DE,22.3,,1.1,89.0,728.4
DV,17.6,0.1,2.0,85.0,820.8
BV,29.5,,3.6,89.0,2102.76
AE,31.3,,2.9,66.0,2916.72
DF,19.3,2.6,0.6,95.0,1151.52
CJ,26.2,0.0,0.8,87.0,1114.74
BD,23.1,0.2,0.9,92.0,806.4
DD,26.6,,1.1,80.0,1860.48
DM,28.2,0.1,4.0,98.0,2387.04
BT,32.0,,2.4,57.0,3383.04
AJ,26.4,,2.1,87.0,4309.92
DM,28.6,,0.7,67.0,1176.0
DI,22.2,,1.2,73.0,681.66
BP,25.1,,1.4,84.0,2841.84
CI,27.7,0.0,2.2,92.0,3950.64
AJ,19.7,,4.3,73.0,3756.48
CE,26.9,0.0,1.6,75.0,2457.0
AE,23.7,,1.3,91.0,2169.36
CD,28.7,,2.0,72.0,4196.16
CS,27.4,0.0,1.9,62.0,1698.48
BN,29.0,,1.3,39.0,3333.9
BG,18.3,1.4,2.5,93.0,8526.24
DN,23.6,,2.5,51.0,1850.76
DT,28.7,,2.9,70.0,1268.64
CG,25.7,1.3,1.3,96.0,3382.92
CU,25.2,,1.8,70.0,3249.12
DP,24.4,1.9,4.0,99.0,3018.72
CZ,25.1,2.0,5.6,78.0,1012.8
CN,29.9,,1.9,65.0,433.98
CC,25.1,0.3,2.3,99.0,1124.28
DB,29.5,,2.4,61.0,3709.44
BF,27.7,0.0,2.2,92.0,10157.76
DS,29.8,,3.0,55.0,1368.0
CO,27.0,,3.1,87.0,1247.76
CZ,23.5,,0.3,95.0,928.8
CW,17.4,,1.1,85.0,1496.04
AW,27.9,,1.2,70.0,1766.1
DN,24.6,,1.5,89.0,512.46
DR,22.4,,5.5,94.0,2344.8
CY,23.6,2.3,0.1,100.0,1268.64
CL,28.0,,2.3,73.0,1971.0
AQ,27.5,,2.2,85.0,567.54
BR,21.2,0.4,1.0,99.0,2932.8
AM,28.9,,4.9,77.0,2704.32
DH,26.6,,1.6,97.0,566.46
BC,23.0,0.1,3.3,94.0,1113.0
BN,24.5,,2.3,99.0,823.5
DK,18.8,,1.6,82.0,481.68
DR,27.8,,4.3,92.0,2319.24
CW,27.4,,1.5,67.0,631.44
AB,27.9,0.0,2.5,77.0,2175.12
CK,29.2,,5.6,70.0,1036.71
DQ,21.1,2.3,0.0,99.0,857.52
BM,29.8,,2.7,66.0,3775.2
CU,29.3,,2.7,66.0,3677.28
CV,27.1,,2.2,87.0,3255.12
AN,18.1,,1.3,80.0,2383.2
CA,28.6,,6.3,79.0,1308.48
DJ,25.8,,3.7,88.0,1664.28
CZ,25.6,,2.2,77.0,1968.0
BE,17.0,,0.4,79.0,1041.12
CY,18.9,1.4,2.3,95.0,1019.16
BG,19.8,0.0,1.2,81.0,8390.16
CZ,31.3,,2.3,57.0,3157.44
DC,22.6,0.4,1.8,95.0,648.36
DC,26.3,,1.9,81.0,2294.64
CE,29.4,,2.3,68.0,2859.48
BL,25.0,,0.9,86.0,799.92
DJ,24.2,,2.1,92.0,458.64
BK,27.4,,2.1,79.0,5517.0
DN,25.3,,4.5,33.0,1914.12
AH,23.8,1.7,0.6,98.0,1374.0
AS,25.9,,2.8,50.0,1080.72
BQ,23.3,,0.4,84.0,3347.4
CW,23.4,,0.0,97.0,1180.08
DI,29.3,,1.3,77.0,1753.92
CM,32.1,,1.4,57.0,695.34
BS,26.1,1.1,2.9,96.0,3912.96
AU,21.1,,0.4,87.0,1793.48
DE,32.5,,1.5,58.0,3541.2
DA,28.4,,2.1,68.0,2818.08
BW,28.0,,0.6,80.0,3531.96
BT,34.3,,1.3,41.0,3379.92
DN,22.2,,1.7,98.0,513.18
DA,28.7,0.0,7.8,54.0,4465.92
CJ,25.7,,1.6,75.0,1466.46
AR,28.4,,2.1,68.0,1800.0
AP,33.4,,3.8,56.0,5309.28
DN,24.5,,3.5,77.0,1072.26
CO,31.9,,5.5,73.0,2173.92
AA,26.2,,1.2,72.0,4488.48
CD,21.0,0.0,1.9,80.0,3879.0
CY,34.2,,1.5,56.0,1392.84
BB,30.4,,1.4,59.0,1900.08
AW,30.9,,2.2,72.0,1747.5
DK,27.9,,3.2,77.0,2487.12
DF,27.8,,1.0,92.0,1394.4
AE,22.4,,4.6,51.0,1670.4
AT,16.3,0.1,1.2,95.0,935.04
CS,27.7,,0.5,77.0,1690.56
CS,25.6,,0.3,74.0,2724.96
BF,26.3,,2.4,64.0,9792.72
BE,27.0,,2.9,70.0,1105.56
BP,26.0,,0.4,74.0,552.96
BM,25.5,,2.7,57.0,3437.28
BV,26.7,14.2,0.8,99.0,2039.4
DO,24.3,,1.6,65.0,1212.3
DM,26.5,,1.8,98.0,808.32
AI,29.5,,3.0,42.0,2982.24
AS,25.5,1.1,2.2,95.0,700.2
AE,27.1,0.0,2.2,94.0,1918.08
CP,22.6,0.4,1.8,95.0,1944.0
DU,26.2,0.0,0.4,74.0,1538.64
CR,23.4,,3.2,79.0,3448.28
CG,30.1,0.0,3.1,64.0,3531.96
CL,23.0,,2.5,84.0,911.16
CF,22.7,,5.9,45.0,2901.12
BQ,22.2,,0.1,100.0,460.2
AH,12.7,,1.2,76.0,1052.16
AH,28.3,,0.9,69.0,1363.44
AR,18.9,0.8,2.3,84.0,1046.7
BG,25.7,3.0,2.3,88.0,8722.8
CP,30.1,0.0,1.8,71.0,2098.95
AN,23.7,21.5,9.3,97.0,2520.48
AQ,24.5,,1.7,58.0,532.26
CZ,27.1,,1.0,97.0,1002.24
CK,23.1,,1.4,95.0,475.47
CM,24.3,,0.2,99.0,431.46
AJ,26.2,,1.2,93.0,3962.88
BX,25.4,,0.5,93.0,3060.3
DA,26.9,12.0,4.0,100.0,3203.04
BQ,22.1,,0.3,98.0,411.9
CT,29.4,,2.3,92.0,1179.18
BB,16.4,,1.9,79.0,1772.64
DR,22.4,0.2,1.7,99.0,3547.56
AJ,27.3,,1.4,90.0,4349.28
DD,24.8,,3.0,89.0,1846.08
AY,26.2,0.4,2.1,87.0,5138.16
DK,25.6,0.0,3.1,85.0,546.0
CN,22.2,,0.8,89.0,278.37
DP,29.0,,2.8,75.0,3297.36
BT,18.7,,0.1,81.0,1416.72
CO,29.7,,5.9,72.0,1481.28
AN,20.8,,0.9,91.0,1536.0
AV,28.3,,1.1,72.0,1786.68
BU,27.2,1.1,3.6,99.0,5375.52
DS,32.5,,3.1,73.0,1538.64
BI,22.1,0.0,2.8,96.0,2129.7
CH,21.5,,2.2,90.0,1528.32
BP,25.7,,0.6,88.0,572.76
AB,22.5,,4.8,52.0,1644.12
AD,23.0,,3.3,61.0,723.42
CF,20.4,,0.7,100.0,2787.36
BC,20.3,,0.5,96.0,1115.7
DT,25.3,,1.1,97.0,923.22
CP,24.1,,2.5,80.0,1643.1
AV,21.8,,2.2,77.0,1667.16
BA,31.7,,1.7,64.0,24623.2
AY,30.0,0.0,2.2,73.0,5989.56
DU,28.1,1.9,1.9,76.0,1697.04
AE,31.8,,2.8,56.0,1935.36
AM,26.9,,2.3,81.0,2344.32
DL,33.0,,4.3,59.0,476.88
DB,32.4,,2.4,64.0,2899.44
DB,24.0,0.0,1.5,94.0,1300.32
AD,25.2,0.0,2.3,87.0,1304.64
AW,26.7,0.0,1.7,77.0,1053.3
CP,20.0,,1.7,73.0,1801.5
AD,24.7,,3.7,66.0,1233.9
BB,22.0,,1.6,95.0,1086.48
AL,25.4,,0.5,89.0,1302.12
BZ,30.8,,2.2,67.0,3113.7
CE,28.3,,1.3,80.0,1397.52
DH,25.5,1.8,1.6,100.0,1487.88
AH,26.8,,0.9,81.0,1365.84
DL,30.9,,1.3,56.0,2310.0
BQ,25.0,0.0,3.0,98.0,434.7
DI,18.2,,1.0,91.0,1223.82
AC,23.7,,1.3,82.0,975.24
CC,26.3,,2.6,97.0,928.8
AN,23.0,,1.9,91.0,1628.16
CB,23.5,,2.0,90.0,563.04
CB,28.9,,4.9,77.0,3006.36
AC,17.5,0.8,3.1,90.0,837.72
BY,25.7,,3.3,75.0,2158.92
CL,27.7,,7.2,86.0,1998.54
AJ,22.9,,6.8,66.0,3814.56
AS,25.0,0.1,2.2,98.0,902.88
CD,27.1,,1.3,69.0,4187.52
BG,20.7,,2.7,69.0,8442.72
BT,25.3,0.0,0.0,89.0,1854.48
CL,19.6,,2.6,79.0,944.46
BP,20.4,,0.4,90.0,377.64
BD,26.1,,1.0,76.0,444.9
AF,31.2,,6.5,70.0,3124.8
AW,23.1,,2.4,64.0,1076.4
CK,26.1,,2.1,65.0,969.39
CO,29.3,,3.3,81.0,1293.12
AD,29.6,,2.1,84.0,847.08
BL,23.4,,3.2,65.0,645.12
AV,25.3,,1.8,96.0,1108.8
DG,30.2,,3.1,60.0,2454.24
AK,22.5,,0.2,100.0,2191.44
AI,35.2,,2.5,58.0,3785.76
CI,20.5,0.0,1.4,80.0,2387.52
AX,27.7,0.0,3.2,88.0,8535.6
CU,23.6,,0.8,92.0,3899.52
AI,29.5,,1.3,71.0,2394.72
DS,27.6,,2.1,80.0,882.72
CO,21.9,,1.2,98.0,1010.64
CS,24.7,,1.1,88.0,2206.32
BC,19.8,,2.7,76.0,1500.6
DU,26.6,0.0,2.1,88.0,1635.66
AR,26.7,,2.5,43.0,1024.5
CA,27.6,,5.6,84.0,1252.8
AG,27.1,0.3,3.0,95.0,998.16
BK,26.4,0.0,2.4,87.0,5080.2
BV,27.8,,1.5,99.0,1731.96
AO,25.4,0.2,3.3,97.0,2079.09
