housing_median_age,total_rooms,population,households,median_income,median_house_value
52,2800,1061,403,6.3434,373600
52,3529,1177,555,5.1773,389500
52,2612,901,367,7.2354,391100
28,5287,2031,956,5.457,337300
50,2935,1031,479,7.5,295200
44,3424,1358,597,6.0194,292300
40,4991,1616,654,7.5544,411500
30,2211,844,343,6.0666,311500
34,3038,1140,496,7.0548,325900
18,1617,533,194,11.6017,392600
35,2865,1072,443,7.4882,319300
34,5065,1627,766,6.8976,333300
28,1326,463,190,8.2049,335200
26,1589,542,211,8.401,351200
29,1791,661,269,6.8538,368900
32,1835,635,263,8.317,365900
37,1229,420,176,7.0175,366700
39,3770,1265,500,6.3302,362800
30,292,126,52,6.3624,483300
52,2375,813,350,7.0549,331400
45,2964,1067,426,6.7851,323500
50,2833,1260,552,2.8929,216700
38,2254,951,487,3.0812,233100
52,1389,510,224,5.2402,296400
52,1971,765,308,6.5217,273700
52,2183,1129,460,3.2632,227700
52,2286,1073,441,3.0298,199600
52,2721,1185,515,4.5428,239800
52,2024,756,340,4.072,270100
52,2944,1034,521,5.3509,302100
52,2033,787,459,3.1603,269500
52,1433,612,213,4.7708,314700
52,2927,1021,380,8.1564,390100
52,2315,861,258,8.8793,410300
52,2485,953,327,6.8591,352400
52,1490,634,256,6.0302,287300
52,2814,878,352,7.508,348700
52,2093,918,483,2.7477,243800
52,888,360,175,2.1944,211500
52,2087,1197,488,3.0149,218400
52,2513,1048,518,3.675,269900
46,3232,1373,747,3.225,218800
42,4120,1715,1015,2.9345,225000
43,2364,1359,722,2.1429,250000
41,1471,1062,413,1.6121,171400
29,2468,1335,773,1.3929,193800
27,1632,1171,429,2.3173,125000
45,1786,1475,460,1.7772,97500
50,629,742,196,2.6458,125000
52,1339,1086,363,2.181,138800
36,1678,1645,543,2.2303,116700
43,2344,1710,644,1.6504,151800
52,996,731,228,2.2697,127000
52,1591,1118,347,2.1563,128600
52,1586,1006,335,2.1348,140600
47,2046,1213,554,2.6292,182700
52,1192,772,257,2.3833,146900
52,1803,1321,401,2.957,122800
49,2838,1487,677,2.5238,169300
52,783,488,186,1.9375,126600
51,1590,949,392,1.9028,127900
50,1746,1149,415,2.25,123500
52,1252,844,280,2.3929,111900
43,5963,4367,1231,2.1917,112800
52,1783,1659,412,2.9357,107900
30,999,1011,263,1.8854,137500
39,1469,1464,389,2.1638,105500
47,1372,1237,303,2.125,95500
52,674,647,168,3.375,116100
43,1626,1284,357,2.2542,112200
51,175,228,55,2.1,75000
39,461,381,123,1.6,112500
52,902,846,227,3.625,125000
20,2373,1659,676,1.6929,115000
52,391,520,138,1.6471,95000
52,1137,866,259,2.59,96400
52,769,612,183,2.57,72000
52,472,415,126,2.6429,71300
52,862,994,213,3.0257,80800
50,1920,1525,477,1.4886,128800
43,1420,1506,438,1.9338,112500
52,986,1008,255,1.4844,119400
44,2340,2813,751,1.6009,118100
48,1696,1481,343,2.0375,122500
49,1175,859,219,2.293,106300
37,2343,1608,523,2.1494,132500
30,610,425,140,1.6198,122700
40,930,564,184,1.3281,113300
44,1487,961,272,3.5156,109500
52,3424,2273,685,3.9048,164700
52,762,600,195,3.0893,125000
46,2366,1647,527,2.6042,124700
49,1826,1201,424,2.5,136700
38,3049,2167,659,2.7969,141700
29,1640,939,340,2.8321,150000
47,1543,859,292,2.9583,138800
34,2364,1517,516,2.8365,139200
35,1745,1143,386,2.875,143800
39,2003,1109,464,3.0682,156500
39,2018,1221,446,3.0757,151000
43,3045,1115,455,4.9559,273000
52,1547,706,268,4.7721,217100
52,3519,1883,706,3.4861,187100
41,2070,804,340,5.1184,239600
48,1321,506,252,4.0977,229700
48,1694,610,238,4.744,257300
46,1938,768,332,4.2727,246900
50,968,462,184,2.9844,179900
40,1060,667,235,4.1739,169600
46,2041,1059,399,3.8487,203300
52,1813,637,277,4.0114,263400
45,2718,1106,454,4.6563,231800
28,3144,1737,669,2.9297,140500
35,1802,1009,390,2.3036,126000
49,882,737,210,2.6667,122000
44,1621,1354,491,2.619,134700
45,2115,1530,474,2.4167,139400
45,2021,1410,480,2.7788,115400
46,2239,1390,569,2.7352,137300
52,1477,1065,269,1.8472,137000
52,1056,792,245,2.6583,142600
49,898,779,245,3.0536,137500
44,2968,2269,610,2.3906,111700
43,1702,1227,407,1.7188,126800
47,881,753,241,2.625,111300
40,494,547,135,2.8015,114800
50,1776,1807,440,1.7276,102300
44,1678,1700,495,2.0801,131900
51,1637,1543,393,2.489,119100
52,1420,1085,300,1.7546,80600
52,591,353,137,4.0904,80600
52,745,473,149,2.6765,88800
49,2272,1621,483,2.4338,102400
46,1234,1183,354,2.3309,98700
43,1017,836,277,2.2604,100000
42,932,900,263,1.8039,92300
39,2689,1888,537,2.2562,94800
41,1547,1024,341,2.0562,102000
52,2300,1225,423,3.5398,158400
39,1752,1071,376,3.1167,121600
50,1867,1128,378,2.5401,129100
43,2430,1537,484,2.898,121400
44,1729,1240,393,2.3125,102800
52,1026,469,168,2.875,160000
52,2170,1086,425,3.3715,143900
52,2329,1144,417,3.5114,151200
52,2492,1109,375,4.3125,164400
52,2198,984,369,3.22,156500
33,142,575,47,3.875,225000
49,1183,496,209,5.2328,174200
52,1070,555,190,3.7262,166900
45,1766,869,327,4.5893,163500
39,617,236,106,5.2578,253000
41,1411,626,214,7.0875,240700
46,2109,922,329,3.9712,208100
47,1229,582,256,2.9514,198100
50,954,546,201,2.6667,172800
37,1643,620,266,5.4446,336700
34,1355,442,195,6.2838,318200
23,2317,955,328,6.7527,285800
24,2459,916,324,7.0712,293000
22,12842,4985,1967,5.9849,371000
42,1524,651,267,3.6875,157300
30,3326,1704,703,2.875,135300
43,1985,1085,407,3.4205,136700
50,1642,713,284,3.2984,160700
49,893,468,181,3.875,140600
52,653,296,121,4.175,144000
47,1256,570,218,4.375,161900
48,977,446,180,4.7708,156300
45,2324,968,384,3.5739,176000
39,1583,857,316,3.0958,145800
39,1612,912,322,3.3958,141900
31,2424,1360,452,1.871,90700
41,1594,1074,355,1.9356,90600
47,2118,965,382,2.1842,107900
37,1575,933,320,2.2917,107000
38,1764,987,354,2.4333,98200
50,1187,907,246,1.9479,89500
52,754,447,165,3.9063,93800
49,2308,1299,451,1.8407,96700
27,909,396,157,2.0786,97500
42,1180,877,268,2.8125,97300
43,2018,1111,367,1.8913,91200
49,1368,790,269,1.7056,91400
52,2744,1479,554,2.2768,96200
51,2107,1173,438,3.2552,120100
52,1748,1029,366,2.0556,100000
52,2024,1030,350,2.4659,94700
47,1116,826,279,1.75,85700
41,2036,1412,454,2.0469,89300
45,1852,1132,349,2.7159,101400
41,921,522,159,1.2083,72500
45,995,630,237,1.925,74100
36,606,531,133,1.5809,70000
37,2680,1925,667,1.4097,84600
38,1493,1144,351,0.7683,81800
19,2207,1481,520,1.3194,81400
28,856,435,162,0.8012,81800
26,1293,984,303,1.9479,85800
36,847,567,159,1.1765,87100
42,541,380,123,2.3456,83500
44,1066,825,244,2.1538,79700
43,707,417,155,2.5139,83400
45,1528,801,287,1.2625,84700
42,909,646,198,2.9063,80000
43,1391,855,285,2.5192,76400
44,548,435,136,2.1111,79700
42,4074,2736,780,2.455,82400
41,1613,1481,414,2.4028,97700
47,463,327,137,2.15,97200
43,818,494,179,2.4776,101600
43,1473,1231,341,2.1587,86500
35,504,323,109,1.8438,90500
46,1026,749,225,3.0298,107600
46,769,693,178,2.25,84200
46,2103,1339,354,2.2467,88900
45,330,282,80,4.0469,80700
46,941,621,195,1.325,87100
38,992,732,259,1.6196,85100
45,990,901,260,2.1731,82000
36,1126,482,150,1.9167,82800
43,1036,652,213,2.069,84600
36,1047,651,166,1.712,82100
33,1280,999,286,2.5625,89300
43,1587,907,306,1.9821,98300
41,1257,828,230,2.5043,92300
44,1218,763,254,2.3281,88800
48,1751,935,349,1.4375,90000
45,2299,1437,484,2.5122,95500
38,2457,1516,482,1.5625,91700
47,998,597,185,3.1587,100400
40,1685,949,342,1.8426,94800
46,1827,881,302,4.6696,164300
36,2781,1438,519,2.4598,155500
39,1823,763,270,6.0749,196900
27,2229,1297,355,4.8304,279100
34,1513,545,211,5.5701,252800
26,3266,1222,533,5.37,275400
33,1809,808,219,6.86,250000
28,794,329,109,7.6923,329800
36,690,299,109,4.0313,195500
33,1334,579,202,6.8323,255900
30,414,137,50,4.975,311100
36,768,229,93,5.3602,330000
41,4400,1476,648,5,248900
46,954,429,154,2.925,142900
40,1445,849,255,3.8913,126300
44,1938,946,331,3.225,135800
41,856,571,191,3.1458,130600
24,1790,1137,386,2.537,107900
44,617,378,135,2.5568,111100
43,1383,853,272,3.5083,122000
49,1325,764,282,3.3125,118000
40,1227,928,261,1.8235,95200
35,667,406,133,3.8047,94300
34,1223,824,280,2.2917,92500
37,1379,835,259,2.4962,91800
43,1534,826,295,4.0417,109400
46,1029,567,211,3.4844,129500
52,771,355,144,4.1458,143400
47,824,533,166,2.625,98200
44,1097,609,215,2.0227,103100
49,1283,576,236,3.3333,276800
52,1604,594,286,5.338,270900
52,2248,870,377,3.4732,246200
38,2263,1027,509,3.5125,224200
52,1571,693,326,3.1375,229100
46,1520,815,375,2.8036,211600
15,5083,2420,1146,4.5824,256100
36,1077,518,276,3.0208,206300
52,1248,620,275,4.0875,221300
42,1342,551,266,4.5268,207400
37,3061,2556,924,1.7375,350000
52,3171,1498,696,3.1795,218200
50,1211,523,227,3.8672,216700
52,979,374,153,5.1675,270600
52,2269,1004,371,5.1696,261400
52,1844,769,334,4.2614,261300
52,2178,940,423,5.0551,232200
42,1650,645,256,5.6228,375400
52,1927,705,288,7.8864,357300
52,2079,684,275,7.9556,374400
52,1803,572,236,6.174,358800
52,2041,671,253,6.9414,417500
52,3046,975,365,8.8342,430500
52,2318,779,312,7.1754,362900
52,2003,658,244,10.0825,397000
52,2261,819,335,4.9083,346800
52,1225,412,168,5.7912,327100
52,2315,835,369,4.5893,290100
52,2070,722,306,5.4171,292000
52,2616,1085,487,4.125,270900
52,2640,973,355,7.266,371100
52,1978,723,272,5.3989,335600
37,2220,903,362,7.8336,371300
41,1125,356,181,6.1593,344000
52,3078,1005,462,6.381,342200
52,3706,1205,504,6.6828,370900
37,3000,987,450,7.5385,350000
42,2863,1031,448,6.7138,368600
52,2551,894,404,6.2425,391800
52,2255,823,377,5.7979,415300
52,3360,1232,621,4.2813,284900
52,1693,669,367,3.5417,287500
44,2252,989,550,3.0132,272900
52,2495,1058,464,4.1429,259600
52,1193,506,207,4.1912,254500
52,1172,489,218,3.9167,235600
52,2159,824,388,3.8897,218400
48,2365,1034,475,3.1065,229200
46,1895,920,425,2.9926,192100
52,1650,841,380,3.556,179300
45,453,749,137,1.475,187500
52,409,208,98,1.6971,138800
10,503,228,100,2.1705,150000
50,499,287,128,2.75,140600
52,477,218,106,2.5682,120000
46,1647,854,355,2.9,144800
52,3123,1695,684,2.2208,144800
52,957,403,172,3.2344,245500
52,589,288,131,3.5156,200000
49,2026,963,521,1.9805,173700
50,1829,1129,516,2.6684,185600
52,895,386,204,3.875,182600
52,1909,811,406,3.006,227900
46,3022,1293,675,2.543,220700
46,1777,805,431,2.8676,212000
52,2803,1372,876,2.1907,271400
30,1465,862,425,1.7778,268800
37,2619,1152,616,2.52,277800
52,1149,483,249,4.2788,332500
52,2363,1558,573,2.944,338900
52,2604,1798,769,1.725,287500
41,685,266,123,5.2289,384600
42,1756,2184,422,2.5562,371400
52,1204,2016,477,0.949,350000
52,609,1349,250,1.1696,500001
52,1087,3337,350,1.4012,175000
52,2773,1721,949,1.1859,241700
35,3218,1675,1000,1.7464,216700
49,1350,707,350,2.8846,211300
52,3084,1424,694,2.7372,210200
52,938,393,189,3.8594,196400
52,1813,828,339,3.5625,191700
52,1233,571,292,2.2788,182300
44,2539,1382,713,2.537,175000
46,1267,792,321,2.525,165900
52,1665,815,372,1.9946,156900
52,1659,788,346,2.8214,164300
52,2225,1145,430,2.6165,150000
50,2485,1354,563,1.9483,150500
52,2031,958,445,1.9327,169900
49,2932,1361,608,1.9798,147400
52,2246,1005,449,2.4167,152700
49,2052,924,414,2.5417,182700
52,1999,780,358,3.3906,179300
52,3007,1582,636,2.5652,157700
41,2214,1213,568,2.2845,153100
52,1088,486,267,2.6071,250000
52,834,494,175,3.15,206300
52,1769,849,365,2.6914,218800
52,2307,1127,548,1.8447,198200
35,5161,3276,1742,1.6307,253600
52,3497,1493,794,2.9044,257400
52,3774,1461,679,2.9405,289500
52,2888,1253,538,3.3893,241700
48,2153,1656,459,3.0417,489600
52,1389,514,202,7.0897,446200
52,1709,719,295,5.0463,456300
52,1587,878,449,1.7652,336800
52,1668,517,214,7.8521,500001
52,3726,1366,496,9.3959,500001
52,4048,1316,590,5.3794,376900
52,3618,1508,755,3.2619,309600
52,4076,1800,815,2.7054,182300
47,2077,719,326,2.2431,172700
50,1279,675,255,1.9028,150800
52,1974,875,363,1.5817,153600
52,335,152,77,2.2841,106300
47,1375,843,319,1.3785,142300
52,610,281,132,2.9018,119400
44,1025,506,204,1.73,147900
48,2063,1054,466,2.2625,132900
35,1872,1017,414,2.2106,132500
52,3108,1623,765,2.6997,126900
14,7355,3100,2051,4.0018,143800
52,2990,947,361,7.8772,500001
39,2492,808,315,11.8603,500001
42,2991,1018,335,13.499,500001
52,3242,1001,352,12.2138,500001
52,3051,1005,369,8.1872,466100
52,3494,1192,383,12.3804,500001
52,1757,585,227,5.8948,457800
52,2449,916,316,8.1194,471600
52,1611,556,179,8.7477,500001
52,3665,1470,520,6.155,398600
52,2474,1104,398,5.883,340700
52,3037,1242,518,5.2128,289900
52,2269,805,321,4.7188,335300
52,1316,378,162,5.2915,333000
52,1153,481,223,2.6411,241000
52,772,409,160,3.3214,189600
52,1711,885,373,3.6417,206300
52,2650,1468,567,3.0161,215700
52,1038,482,215,3.1771,210200
52,1527,825,264,3.4531,208800
52,859,429,158,4.3098,197900
52,970,528,208,3.3438,201300
52,1045,496,216,2.9213,190800
52,1408,718,265,2.6806,207900
52,1222,630,265,3.7708,215300
45,1169,723,286,3.9444,212900
13,2020,959,486,5.2601,292700
30,4145,3668,855,2.5444,275000
42,2038,2037,355,2.6447,200000
29,5154,3741,1273,2.5762,173400
42,1241,821,300,1.9427,102200
52,1468,870,347,2.9688,220800
27,3997,1901,966,3.75,242800
18,2873,1243,663,5.1702,265400
50,1487,730,327,2.5139,219000
52,1670,793,299,2.9732,282100
52,2252,1033,434,5.5337,372000
52,1731,872,363,4.1667,225800
52,1710,849,457,2.7115,220800
52,2388,1121,518,3.3269,234500
52,2156,872,445,3.2685,254200
52,1565,637,297,4.7778,351800
52,1704,663,340,4.226,275000
52,1210,411,172,3.3571,405400
52,2097,915,413,2.9899,228100
52,1848,921,477,2.875,234000
43,955,585,266,2.3882,162500
43,4329,2086,1053,2.975,243400
52,3011,1303,535,5.1039,273800
52,1049,374,176,4.1458,248500
52,2504,979,472,3.4762,244000
52,1846,827,446,2.6833,240900
52,1705,658,253,5.75,306300
50,1542,654,268,3.9632,240000
45,891,384,146,4.9489,247100
27,4051,1499,797,4.8711,286600
52,2646,1128,522,3.0718,266700
49,2428,1110,492,3.6719,229800
52,2567,1119,415,4.6094,229300
21,7031,2930,1235,4.5213,228400
25,1914,897,390,4.4562,206200
5,18634,7427,2718,7.611,350700
31,5785,2973,1312,3.2689,231000
52,2876,1340,632,3.567,252900
28,6909,2974,1484,3.6875,353900
23,5679,2690,1151,4.7695,291700
20,1156,583,326,3.1972,100000
12,14316,5781,2007,7.2634,341600
5,3596,1738,512,7.0568,412500
36,3541,1478,529,4.635,248600
40,1808,746,270,5.3015,254900
36,2879,1235,455,4.9801,241500
26,3204,1411,484,5.4834,295200
31,3866,1368,521,6.187,340400
32,2476,1048,367,5.6194,274700
35,2211,1004,365,5.4639,238600
35,2663,1086,367,5.1498,266400
30,2599,922,350,5.8382,330200
36,4569,1950,819,4.65,206800
25,2973,1413,595,4.3819,209200
30,3115,1444,568,3.7222,195800
31,1843,749,269,5.2855,253500
31,2053,867,329,4.3375,241800
27,6740,2723,1035,5.2131,252500
30,1751,731,263,6.005,263900
38,1663,781,301,5.0519,227000
38,3716,1784,652,4.8237,220900
32,2718,1156,410,5.2497,259300
39,1420,645,277,4.125,232500
37,1893,821,315,4.6005,231600
33,3906,1912,770,3.5187,209400
32,3400,1487,694,3,223200
25,3402,1645,710,3.4934,209900
33,4413,2239,1051,2.9861,208200
29,2304,1021,552,2.5362,203800
36,2350,1105,467,3.3021,195700
31,5914,2999,1295,3.0964,190500
43,1575,740,284,2.8512,181000
42,1414,629,244,3.3478,184900
37,848,314,205,2.3958,190800
15,3051,1479,668,3.5295,242200
20,4296,1732,800,4.8036,188300
52,2898,1338,550,3.851,183500
52,1071,440,192,4.0662,204200
51,2619,922,393,4.6042,251900
49,1494,611,288,2.2,187500
52,2260,994,412,4.1164,198200
52,1394,545,230,3.95,219000
52,1028,317,143,4.9135,275000
45,3758,1573,736,2.8355,245400
46,2163,925,435,3.25,177500
49,1699,768,385,2.8301,171600
52,1555,620,292,3.7159,183300
52,1114,425,207,2.5625,175000
45,1498,1003,305,3.8047,156700
45,726,519,135,3.375,157500
38,890,481,198,3.244,179800
36,2639,1209,519,4.0268,205500
35,2562,1398,525,3.3906,178900
36,361,158,58,5.5461,262500
42,3008,1817,664,3.371,165000
46,1369,766,289,3.5313,159700
5,1692,814,328,3.663,158300
38,1007,618,239,2.875,144800
43,3783,2139,789,4.0202,166300
37,1507,632,253,4.5553,191000
36,666,366,134,3.4643,175000
10,2229,877,485,3.3431,137500
28,2215,830,573,2.1898,141700
31,1616,739,379,2.9097,210900
47,1190,540,266,3.375,198300
29,4169,2024,962,2.8125,157400
52,2024,823,334,5,264700
38,1723,711,353,3.0673,218400
43,2264,931,368,3.8125,235100
33,1996,686,270,6.9096,341800
26,2862,1030,397,7.912,367300
35,2183,976,392,3.8393,243500
35,1037,552,210,4,167900
25,1134,340,171,6.5095,371200
39,786,288,132,3.5156,218900
45,1397,555,248,2.983,202700
45,2315,1006,444,3.524,186200
44,1613,776,346,3.1103,188900
44,1421,609,270,3.5781,180000
18,5778,2441,1352,3.1682,202700
27,3094,1364,789,2.6101,181700
18,3905,2197,1044,3.6932,166800
43,3046,1333,544,3.4583,183700
19,3516,1810,703,3.9032,218000
36,998,531,183,4.0208,191500
36,1464,672,261,3.5547,194700
17,1463,695,330,4.5859,187200
21,4124,2162,998,2.6321,223100
17,2380,1216,643,3.395,271300
36,1266,606,239,3.9702,194100
36,2239,1203,379,5.0043,190400
38,1571,874,301,4.4659,189100
38,1246,637,222,3.6625,184600
36,1501,703,276,3.8864,197300
36,1468,733,229,3.4583,192600
36,1118,625,228,3.7813,192200
36,1097,568,225,2.9917,194600
36,1719,836,311,4.4375,193500
24,1755,952,362,4,202600
16,1687,568,352,2.3869,83300
24,2262,1125,366,4.7609,212600
5,2087,840,401,5.4858,187800
36,1480,796,283,4.3971,205700
36,1545,863,267,4.0109,192900
35,2632,1349,486,4.3864,205200
30,2261,929,383,4.2841,213400
39,1670,957,335,5.1312,183600
37,2141,1093,555,2.9958,178400
27,3337,1489,607,3.6364,219200
31,3184,1561,628,2.7955,183100
44,2341,1256,485,2.9507,157100
30,1197,695,279,3.4375,157800
34,1131,560,237,2.875,161700
38,1164,632,289,3.0345,152100
41,3495,1849,750,2.679,144900
17,2488,1287,538,2.9922,179900
35,2681,1580,536,4.1042,179100
19,2495,1571,579,2.5833,159900
23,1689,828,443,2.1552,161400
29,1298,835,338,2.3274,170400
19,2693,1765,724,2.4206,137500
41,746,387,161,3.9063,178400
37,2444,1562,618,2.6464,155200
42,1472,768,309,3.4643,160900
10,2227,1140,472,2.3973,167300
20,200,83,31,6.5,340000
32,1283,485,171,6.0574,431000
6,2445,1189,573,3.8958,301100
21,1307,586,249,4.7813,241900
5,3785,2240,792,3.2829,162500
10,2031,867,352,5.3169,299200
10,8299,3827,1288,6.2579,315500
23,7518,3827,1294,5.1701,216800
36,1815,1280,431,3.25,218100
30,5367,2667,1047,3.1796,170300
26,1167,253,137,2.4196,275000
26,2607,1401,607,2.6563,184100
29,493,233,152,0.9637,160000
48,1252,673,308,2.3357,175000
41,1382,704,314,3.5114,197500
43,500,273,120,3.3125,150000
29,2333,1120,540,2.4042,205600
41,1834,1105,467,2.8322,170300
43,1415,569,293,2.5156,190900
37,1352,691,324,3.4032,196900
37,2116,1109,448,2.535,174000
37,1976,1197,465,2.5772,170200
38,1779,1061,400,3.0962,180900
34,3659,2479,903,2.9564,150500
31,1892,1162,389,3.125,167100
35,1958,1146,448,2.95,148900
40,1553,724,267,4.38,196400
37,2412,975,375,4.0417,191100
36,2110,952,370,3.8,187500
45,2179,1159,399,3.4839,180600
45,2457,1129,422,4.0588,182800
44,2147,1175,401,4.1974,179300
43,1676,924,328,3.6,179400
35,2976,1424,538,4.267,210300
34,3036,1366,500,4.2386,192300
35,2472,1171,390,5.5797,198100
36,1487,641,243,4.0682,196200
38,2012,880,332,3.1734,181600
37,3342,1635,557,4.7933,186900
37,3156,1495,543,4.8125,188300
40,1748,914,317,3.8676,184000
33,3429,1798,694,3.9395,184700
42,3592,1625,665,3.2434,179900
38,1035,599,224,3.0917,167200
32,3028,2037,703,3.0645,165400
33,2431,1854,603,2.7019,154000
39,2069,1408,478,3.1115,153500
40,1340,766,271,3.4722,135400
39,1160,725,274,2.2222,158300
32,2015,1019,340,6.1104,240700
22,3882,1830,743,4.2733,180700
27,3239,1469,616,3.2465,230600
28,2932,1198,624,3.2417,210800
38,2104,1039,394,3.875,165300
29,1694,690,242,6.0501,254200
18,3000,1155,415,6.8233,332600
23,2419,1066,384,6.3501,350000
28,2280,1255,587,2.6719,161200
21,5031,2461,1042,3.875,179300
33,1547,1063,356,2.5625,154300
31,3300,2181,740,3.016,161800
17,5018,3069,1299,2.7694,161900
35,1813,1093,374,3.6818,165400
37,1997,1349,437,2.1382,166600
37,901,599,206,3.7303,149700
35,686,480,149,3.875,162100
33,1954,1293,448,3.0489,152600
27,2630,1414,634,2.8203,195200
35,1130,543,184,4.3897,190600
35,1184,572,194,4.7143,193800
34,656,342,112,4.6875,200600
29,2544,2332,603,3.2091,150000
36,1305,768,234,4.275,185300
36,1755,913,299,4.1302,172700
35,2843,1726,643,3.09,174100
25,2538,1185,501,4.5417,194400
28,1784,735,278,4.6635,206700
31,1797,796,319,4.4427,204500
36,410,252,82,4.5303,175000
26,162,86,25,2.375,137500
18,9963,5613,1946,3.8171,187200
35,2361,1727,467,4.5281,173600
19,862,407,183,4.3456,163000
18,4335,2041,734,3.4861,331600
31,1487,854,301,5.2312,197600
8,3592,1907,746,3.6708,197900
40,432,264,77,3.8875,228100
34,1457,735,249,3.9167,189500
32,1578,836,292,3.9063,184200
29,2172,1377,408,3.7895,180900
36,1340,789,248,3.8,172000
36,1116,662,226,5.7309,177900
36,1885,853,271,4.1141,173100
36,1180,664,200,5.2838,172600
30,5267,4065,1113,3.3479,182100
23,1897,1109,418,3.142,179500
31,767,548,185,3.7614,176000
33,691,431,149,4.25,192600
36,786,463,160,3.9338,182700
22,5861,5436,1463,2.5158,134900
27,2784,2028,693,2.4808,157600
25,4524,2426,862,4.7083,190900
37,1468,1038,282,4.1652,158200
20,1655,857,430,3.5541,350000
33,1227,848,291,3.8036,158200
33,1160,729,220,3.8259,146100
33,952,369,159,3.2331,226700
35,2072,1001,350,4.7109,198700
32,2964,1472,527,4.2468,221200
35,1032,453,176,6.396,208500
35,657,328,134,3.8125,204200
32,1540,793,302,3.2857,193200
35,1298,632,204,3.8929,209500
36,1409,1002,281,3.7262,164900
37,1383,808,241,4.0125,161400
